id,title,company_name,company_location,url,salary,salary_min,salary_max,avg_salary
78,Full Stack Developer-Trainee,Wipro,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=83010b55d2d600fc&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,22000 - 53500 ,22000 , 53500 ,37750.0
79,Python Developer,QuantGrade,"Remote in Noida, Uttar Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=866975dcfbad1b50&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3, 300000 , 300000 , 300000 ,300000.0
80,Python Developer,Infiniticube Services Pvt Ltd,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=84c0c493e417c331&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,15000 - 30000 ,15000 , 30000 ,22500.0
81,"JavaScript, Python and Linux Developer",Infosys,"Thiruvananthapuram, Kerala",https://in.indeed.com/viewjob?&t=Python+Developer&jk=383c6f992ed693ca&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
82,Junior Python Developer,Websodev,"Patna, Bihar",https://in.indeed.com/viewjob?&t=Python+Developer&jk=a5b9762a0e61d68f&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,13500 - 25000 ,13500 , 25000 ,19250.0
83,Senior Software Engineer - Display,ARM,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=9c261241c0e4dedf&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
84,Junior Python Developer,Wisdomleaf Technologies (P) Limited,India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=298089e9a99c56f2&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,300000 - 400000 ,300000 , 400000 ,350000.0
85,Sales Engineer,PubNub,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=65b57e41fbe58c70&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,2500000 - 3500000 ,2500000 , 3500000 ,3000000.0
86,Associate Multi-Skill Software Developer (Cloud and DevSecOps),BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=56262ddea0d3c515&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
87,Engineer SR. Software,Giant Eagle GCC,Karnataka,https://in.indeed.com/viewjob?&t=Python+Developer&jk=856da56acd6d4348&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
